Sec	mm	kN
0.15722656	0.018990049	4.0818505
0.25683594	0.0094949771	4.0055547
0.15429688	-0.028485307	4.0818505
0.25390625	-9.3946397e-08	4.3488874
0.35351563	0.028485119	4.9592581
0.453125	0.056970332	7.782773
0.55273438	0.0094949771	10.231334
0.65234375	0.028485119	11.646909
0.75195313	0.085455544	12.794672
0.8515625	0.0094949771	14.133728
0.95117188	0.066465408	16.658808
1.0507813	0.094950616	16.697065
1.1503906	0.10444569	18.342194
1.25	0.075960472	21.211599
1.3496094	0.085455544	21.670706
1.4492188	0.12343583	22.435881
1.5488281	0.12343583	24.846184
1.6484375	0.094950616	26.108723
1.7480469	0.10444569	26.49131
1.8476563	0.11394076	28.289473
1.9472656	0.18040626	30.20241
2.046875	0.14242597	29.972858
2.1464844	0.14242597	32.077091
2.2460938	0.24687175	34.334358
2.3457031	0.24687175	34.066547
2.4453125	0.25636682	35.864708
2.5449219	0.24687175	37.586353
2.6445313	0.24687175	38.619339
2.7441406	0.27535698	39.996655
2.84375	0.3323274	40.379242
2.9433594	0.30384219	42.292179
3.0429688	0.27535698	42.292179
3.1425781	0.31333727	44.319897
3.2421875	0.2658619	47.418854
3.3417969	0.31333727	47.801441
3.4414063	0.29434711	48.987465
3.5410156	0.3323274	50.173485
3.640625	0.3608126	51.28299
3.7402344	0.39879289	53.808071
3.8398438	0.37980276	54.228916
3.9394531	0.37030768	56.180115
4.0390625	0.37030768	56.141853
4.1386719	0.40828797	57.863499
4.2382813	0.41778302	60.235542
4.3378906	0.3608126	60.885941
4.4375	0.41778302	63.10495
4.5371094	0.38929781	63.908382
4.6367188	0.48424852	65.897842
4.7363281	0.47475347	66.739532
4.8359375	0.48424852	68.308144
4.9355469	0.46525839	70.488892
5.0351563	0.44626826	70.335854
5.1347656	0.46525839	72.287056
5.234375	0.51273376	74.238251
5.3339844	0.54121894	74.238251
5.4335938	0.48424852	75.845116
5.5332031	0.50323868	77.375473
5.6328125	0.50323868	78.48497
5.7324219	0.55071402	79.441444
5.8320313	0.52222884	81.124832
5.9316406	0.5602091	82.731697
6.03125	0.59818941	82.578659
6.1308594	0.59818941	84.4916
6.2304688	0.5602091	86.519318
6.3300781	0.60768443	87.093193
6.4296875	0.62667459	87.781853
6.5292969	0.60768443	89.159172
6.6289063	0.57919925	90.727776
6.7285156	0.60768443	91.645988
6.828125	0.61717951	92.985046
6.9277344	0.64566475	94.936241
7.0273438	0.72162533	94.859726
7.1269531	0.68364501	96.810921
7.2265625	0.64566475	97.652618
7.3261719	0.75011051	98.149979
7.4257813	0.65515983	99.565552
7.5253906	0.72162533	101.2872
7.625	0.75011051	102.77929
7.7246094	0.76910067	103.46795
7.8242188	0.73112041	104.00357
7.9238281	0.75960559	106.22258
8.0234375	0.7975859	105.99303
8.1230469	0.80708092	108.09726
8.2226563	0.7975859	109.78065
8.3222656	0.82607108	110.81363
8.421875	0.7975859	110.96667
8.5214844	0.80708092	112.4205
8.6210938	0.80708092	114.25692
8.7207031	0.816576	114.75429
8.8203125	0.8640514	116.82026
8.9199219	0.89253658	117.8915
9.0195313	0.83556616	117.92976
9.1191406	0.84506124	118.92449
9.21875	0.87354642	121.41131
9.3183594	0.949507	122.4443
9.4179688	0.90203166	122.09997
9.5175781	0.92102182	123.5538
9.6171875	0.91152674	125.42848
9.7167969	0.96849716	126.42321
9.8164063	1.0159725	127.41794
9.9160156	1.0064775	129.33087
10.015625	1.0064775	128.79526
10.115234	0.98748732	130.13431
0.15332031	0.96849716	129.44565
0.25292969	1.0349627	128.94829
0.35253906	0.96849716	127.11187
0.45214844	0.92102182	126.23192
0.55175781	0.96849716	123.40076
0.65136719	0.96849716	121.67912
0.75097656	0.92102182	121.22002
0.85058594	0.92102182	118.15932
0.95019531	0.94001192	117.66195
1.0498047	0.92102182	117.66195
1.1494141	0.8830415	115.94031
1.2490234	0.8830415	114.06563
1.3486328	0.87354642	111.92313
1.4482422	0.84506124	111.88488
1.5478516	0.87354642	108.67114
1.6474609	0.83556616	108.36507
1.7470703	0.84506124	106.71994
1.8466797	0.84506124	104.42442
1.9462891	0.84506124	103.96531
2.0458984	0.84506124	101.86108
2.1455078	0.78809083	100.59854
2.2451172	0.76910067	99.182968
2.3447266	0.78809083	96.887444
2.4443359	0.77859575	96.65789
2.5439453	0.71213025	94.974503
2.6435547	0.75960559	93.061562
2.7431641	0.73112041	92.219872
2.8427734	0.816576	90.1539
2.9423828	0.71213025	89.159172
3.0419922	0.72162533	87.590561
3.1416016	0.68364501	86.36628
3.2412109	0.73112041	85.027222
3.3408203	0.69314009	83.80294
3.4404297	0.68364501	83.229057
3.5400391	0.71213025	79.785774
3.6396484	0.60768443	78.8293
3.7392578	0.66465491	78.255424
3.8388672	0.67414993	76.380745
3.9384766	0.65515983	75.424271
4.0380859	0.59818941	74.046959
4.1376953	0.60768443	71.713173
4.2373047	0.60768443	70.335854
4.3369141	0.59818941	70.144562
4.4365234	0.60768443	68.843765
4.5361328	0.52222884	67.122124
4.6357422	0.56970417	66.318687
4.7353516	0.57919925	64.061417
4.8349609	0.56970417	62.76062
4.9345703	0.57919925	62.071964
5.0341797	0.48424852	60.809425
5.1337891	0.47475347	60.312061
5.2333984	0.50323868	58.858227
5.3330078	0.47475347	56.907028
5.4326172	0.53172392	56.60096
5.5322266	0.39879289	55.07061
5.6318359	0.43677318	53.808071
5.7314453	0.47475347	53.004635
5.8310547	0.46525839	51.206474
5.9306641	0.50323868	50.900402
6.0302734	0.41778302	48.643135
6.1298828	0.4272781	48.643135
6.2294922	0.40828797	46.271091
6.3291016	0.38929781	45.123329
6.4287109	0.39879289	45.008553
6.5283203	0.38929781	42.368698
6.6279297	0.35131752	42.06263
6.7275391	0.3323274	40.723572
6.8271484	0.3323274	39.116703
6.9267578	0.35131752	37.70113
7.0263672	0.32283232	36.056
7.1259766	0.29434711	35.864708
7.2255859	0.29434711	33.416145
7.3251953	0.27535698	33.607441
7.4248047	0.29434711	32.689232
7.5244141	0.27535698	30.661516
7.6240234	0.22788161	29.207682
7.7236328	0.23737669	27.715591
7.8232422	0.27535698	26.835638
7.9228516	0.25636682	25.955687
8.0224609	0.23737669	25.458323
8.1220703	0.2658619	23.927973
8.2216797	0.30384219	22.971504
8.3212891	0.14242597	22.818468
8.4208984	0.25636682	20.982048
8.5205078	0.22788161	19.604733
8.6201172	0.17091119	19.413439
8.7197266	0.17091119	17.423983
8.8193359	0.16141611	16.811842
8.9189453	0.10444569	15.702338
9.0185547	0.085455544	14.171988
9.1181641	0.14242597	13.827659
9.2177734	0.085455544	11.570391
9.3173828	0.047475263	10.843474
9.4169922	0.075960472	10.269593
9.5166016	0.075960472	8.6244659
9.6162109	0.066465408	7.6297379
9.7158203	0.066465408	6.7522202
9.8154297	0.10444569	5.3407393
9.9150391	0.075960472	4.3107395
10.014648	0.018990049	3.0137029
10.114258	0.056970332	2.0599995
10.213867	0.0094949771	0.95370346
10.313477	-0.018990235	-0.57222199
10.413086	-0.0094951652	-1.3733329
10.512695	-0.056970522	-2.7466657
10.612305	-0.04747545	-3.624073
10.711914	0.018990049	-4.997406
10.811523	-0.056970522	-5.8748131
10.911133	-9.3946397e-08	-6.4470348
11.010742	-0.066465594	-8.3925896
11.110352	-0.037980378	-8.8503675
11.209961	-0.11394095	-10.452589
11.30957	-0.056970522	-10.643331
11.40918	-0.11394095	-11.864071
11.508789	-0.094950803	-13.3137
11.608398	-0.15192123	-13.771478
11.708008	-0.12343602	-15.297402
11.807617	-0.17091137	-15.678885
11.907227	-0.17091137	-17.090364
12.006836	-0.11394095	-17.853329
12.106445	-0.14242616	-18.158512
12.206055	-0.16141631	-20.25666
12.305664	-0.2278818	-20.523697
12.405273	-0.19939658	-21.591845
12.504883	-0.25636703	-23.079622
12.604492	-0.20889166	-23.308512
12.704102	-0.21838672	-24.414808
12.803711	-0.28485224	-24.758141
12.90332	-0.29434729	-26.703695
13.00293	-0.26586208	-27.504807
13.102539	-0.31333745	-28.000732
13.202148	-0.25636703	-30.175177
13.301758	-0.31333745	-30.251472
13.401367	-0.34182265	-30.632954
13.500977	-0.30384237	-32.273323
13.600586	-0.26586208	-32.692955
13.700195	-0.33232757	-33.37962
13.799805	-0.41778323	-34.638508
13.899414	-0.34182265	-35.477768
13.999023	-0.35131773	-35.515915
14.098633	-0.35131773	-35.973694
14.198242	-0.40828815	-38.49147
14.297852	-0.40828815	-38.338879
14.397461	-0.42727828	-39.750359
14.49707	-0.35131773	-40.13184
14.59668	-0.43677336	-40.9711
14.696289	-0.46525857	-42.344433
14.795898	-0.39879307	-42.497025
14.895508	-0.48424873	-44.099247
14.995117	-0.44626844	-43.908504
15.094727	-0.46525857	-43.832211
15.194336	-0.45576352	-46.197395
15.293945	-0.54121917	-46.0448
15.393555	-0.5317241	-46.88406
15.493164	-0.56020927	-47.647022
15.592773	-0.56970435	-48.715172
15.692383	-0.56970435	-49.821468
15.791992	-0.56020927	-49.783318
15.891602	-0.56970435	-50.355541
15.991211	-0.56970435	-50.813316
16.09082	-0.59818959	-50.965912
16.19043	-0.60768467	-52.758873
16.290039	-0.56020927	-53.216652
16.389648	-0.58869451	-54.284798
16.489258	-0.61717969	-54.132206
16.588867	-0.62667477	-55.619984
16.688477	-0.60768467	-56.230354
16.788086	-0.65516001	-56.497391
16.887695	-0.66465509	-57.832577
16.987305	-0.65516001	-58.786278
17.086914	-0.66465509	-58.862576
17.186523	-0.65516001	-60.312202
17.286133	-0.71213043	-60.769981
17.385742	-0.70263535	-61.532944
