Sec	mm	kN
0.24414063	-0.0094945496	0.19129387
0.34375	-0.0094945496	0.15303509
0.44335938	-0.018989621	0.30607015
0.54296875	0.0094955927	2.8311489
0.64257813	-0.037979763	4.7823458
0.7421875	-0.028484691	6.1596613
0.84179688	-0.018989621	7.3839421
0.94140625	-0.018989621	8.7995167
1.0410156	0.028485736	11.592406
1.140625	0.028485736	12.816687
1.2402344	0.094951235	14.232262
1.3398438	0.085456163	15.762612
1.4394531	0.05697095	17.67555
1.5390625	0.028485736	19.473713
1.6386719	0.10444631	20.621475
1.7382813	0.094951235	22.228344
1.8378906	0.10444631	23.988247
1.9375	0.094951235	25.595116
2.0371094	0.1709118	27.355019
2.1367188	0.13293152	28.770592
2.2363281	0.1709118	30.492237
2.3359375	0.19939701	31.372189
2.4355469	0.25636744	33.055573
2.5351563	0.26586252	34.624184
2.6347656	0.20889209	36.345829
2.734375	0.1709118	37.79966
2.8339844	0.22788222	38.641354
2.9335938	0.24687237	39.750858
3.0332031	0.19939701	40.554291
3.1328125	0.25636744	42.505489
3.2324219	0.2373773	44.0741
3.3320313	0.30384278	45.719227
3.4316406	0.29434773	45.94878
3.53125	0.26586252	48.206047
3.6308594	0.30384278	49.430328
3.7304688	0.29434773	50.539829
3.8300781	0.31333786	52.10844
3.9296875	0.34182307	53.141426
4.0292969	0.37030831	54.710037
4.1289063	0.35131815	55.819542
4.2285156	0.37030831	57.273373
4.328125	0.37030831	57.043819
4.4277344	0.39879352	59.148052
4.5273438	0.36081323	59.415863
4.6269531	0.37980336	60.793179
4.7265625	0.39879352	62.285271
4.8261719	0.42727873	63.050446
4.9257813	0.38929844	63.930401
5.0253906	0.38929844	65.19294
5.125	0.38929844	66.493736
5.2246094	0.42727873	66.761551
5.3242188	0.50323927	68.100601
5.4238281	0.45576394	67.794533
5.5234375	0.47475407	68.980553
5.6230469	0.54121959	69.248367
5.7226563	0.43677381	69.477921
5.8222656	0.51273435	70.702202
5.921875	0.52222943	70.625687
6.0214844	0.56970477	71.00827
6.1210938	0.49374422	71.773445
6.2207031	0.56020969	72.500366
6.3203125	0.56970477	73.456833
6.4199219	0.58869493	73.265541
6.5195313	0.56020969	73.877678
6.6191406	0.57919985	75.178474
6.71875	0.61718017	75.599319
6.8183594	0.59819001	76.594048
6.9179688	0.64566535	76.594048
7.0175781	0.66465551	77.282707
7.1171875	0.65516043	77.320969
7.2167969	0.68364567	78.69828
7.3164063	0.68364567	78.583504
7.4160156	0.63617027	78.430473
7.515625	0.70263577	79.463455
7.6152344	0.63617027	79.04261
7.7148438	0.68364567	80.611221
7.8144531	0.731121	81.376396
7.9140625	0.75011116	80.879036
8.0136719	0.74061608	82.179832
8.1132813	0.74061608	82.600677
8.2128906	0.74061608	82.447639
8.3125	0.75011116	83.327591
8.4121094	0.75960618	83.671921
8.5117188	0.82607168	84.666649
8.6113281	0.75011116	85.5466
8.7109375	0.83556676	85.661377
8.8105469	0.7975865	85.584862
8.9101563	0.80708158	86.273521
9.0097656	0.82607168	87.76561
9.109375	0.84506184	87.42128
9.2089844	0.81657666	88.492531
9.3085938	0.82607168	88.836853
9.4082031	0.83556676	89.410736
9.5078125	0.864052	90.137657
9.6074219	0.95900273	89.295959
9.7070313	0.91152734	90.711533
9.8066406	0.87354708	91.591484
9.90625	0.87354708	91.017609
10.005859	0.93051749	92.356659
10.105469	0.92102242	93.160095
10.205078	0.94001257	93.08358
10.304688	0.91152734	93.619202
10.404297	1.0064781	94.078308
10.503906	1.0064781	93.887016
10.603516	1.0254682	94.078308
0.1484375	0.97799283	89.487259
0.24804688	1.0064781	89.104668
0.34765625	0.98748791	87.880386
0.44726563	1.0064781	85.39357
0.546875	0.96849775	83.824959
0.64648438	0.98748791	82.332863
0.74609375	0.93051749	81.032066
0.84570313	0.93051749	79.501717
0.9453125	0.90203226	78.583504
1.0449219	0.90203226	76.555794
1.1445313	0.864052	74.834145
