Sec	mm	kN							
0.17285156	-0.056971081	-0.3060703							
0.27246094	-0.066466153	0.45910504							
0.37207031	-0.056971081	0.84169269							
0.47167969	-0.047476012	2.0277145							
0.57128906	-0.018990798	5.3562274							
0.67089844	-0.028485868	6.1214023							
0.77050781	-0.028485868	7.4987183							
0.87011719	-0.03798094	8.8760338							
0.15039063	0.009494416	-0.38258785							
0.25	0.028484559	-0.11477647							
0.1484375	-0.028485868	-0.03825894							
0.24804688	-0.018990798	-0.191294							
0.34765625	-6.55E-07	1.5686092							
0.44726563	0.028484559	3.2902536							
0.546875	0.056969773	3.7876177							
0.64648438	0.028484559	6.0831437							
0.74609375	0.056969773	7.0396128							
0.84570313	0.066464841	8.3786697							
0.9453125	0.13293034	11.056784							
1.0449219	0.075959913	10.368126							
1.1445313	0.037979629	10.635937							
1.2441406	0.056969773	12.319323							
1.34375	0.1139402	13.887932							
1.4433594	0.15192048	15.647836							
1.5429688	0.18040569	16.527786							
1.6425781	0.18040569	17.522514							
1.7421875	0.14242542	18.59376							
1.8417969	0.15192048	19.741524							
1.9414063	0.18990077	21.004063							
2.0410156	0.18990077	21.960531							
2.140625	0.22788106	23.835211							
2.2402344	0.19939584	24.944715							
2.3398438	0.22788106	25.595114							
2.4394531	0.23737612	26.972431							
2.5390625	0.18990077	28.081934							
2.6386719	0.18990077	30.492237							
2.7382813	0.29434654	30.645271							
2.8378906	0.29434654	32.328659							
2.9375	0.33232683	33.78249							
3.0371094	0.30384162	35.810204							
3.1367188	0.30384162	36.881451							
3.2363281	0.25636625	38.029213							
3.3359375	0.33232683	39.330013							
3.4355469	0.28485149	40.095188							
3.5351563	0.39879233	41.855091							
3.6347656	0.36081204	43.576736							
3.734375	0.32283175	44.380169							
3.8339844	0.39879233	45.489674							
3.9335938	0.3798022	46.637436							
4.0332031	0.40828741	47.364353							
4.1328125	0.37030712	49.353809							
4.2324219	0.44626769	51.15197							
4.3320313	0.35131699	51.687595							
4.4316406	0.41778249	53.103168							
4.53125	0.45576274	53.447498							
4.6308594	0.46525782	55.896057							
4.7304688	0.45576274	56.278645							
4.8300781	0.45576274	57.808994							
4.9296875	0.42727754	59.53064							
5.0292969	0.50323814	59.79845							
5.1289063	0.5412184	60.295815							
5.2285156	0.52222824	61.520096							
5.328125	0.46525782	63.126965							
5.4277344	0.55071348	62.438309							
5.5273438	0.5412184	64.15995							
5.6269531	0.5412184	66.187668							
5.7265625	0.56970364	66.531998							
5.8261719	0.57919866	67.832794							
5.9257813	0.66465431	69.057076							
6.0253906	0.5412184	69.898766							
6.125	0.55071348	71.543892							
6.2246094	0.59818882	71.658669							
6.3242188	0.62667406	73.533348							
6.4238281	0.56970364	73.686386							
6.5234375	0.62667406	74.489815							
6.6230469	0.65515924	77.0149							
6.7226563	0.72162473	76.708824							
6.8222656	0.65515924	77.435745							
6.921875	0.69313955	79.38694							
7.0214844	0.65515924	79.960823							
7.1210938	0.74061489	81.529434							
7.2207031	0.70263463	82.332863							
7.3203125	0.73111981	83.51889							
7.4199219	0.73111981	84.016251							
7.5195313	0.77859515	85.584862							
7.6191406	0.74061489	86.503075							
7.71875	0.72162473	86.350037							
7.8183594	0.76910013	88.071678							
7.9179688	0.75010997	89.142929							
8.0175781	0.72162473	89.793327							
8.1171875	0.78809023	91.591484							
8.2167969	0.86405081	92.127113							
8.3164063	0.85455573	93.657463							
8.4160156	0.80708039	93.542686							
8.515625	0.86405081	94.460892							
8.6152344	0.79758531	95.838211							
8.7148438	0.90203112	95.952988							
8.8144531	0.83556563	97.177269							
8.9140625	0.83556563	97.712891							
9.0136719	0.83556563	98.095474							
9.1132813	0.9305163	100.54404							
9.2128906	0.83556563	100.35275							
9.3125	0.90203112	101.34747							
9.4121094	0.87354589	101.76832							
9.5117188	0.91152614	102.95434							
9.6113281	0.97799164	104.21688							
9.7109375	0.94001138	104.59946							
9.8105469	0.95900154	105.93852							
9.9101563	1.0064769	107.20107							
10.009766	0.98748672	107.92798							
10.109375	0.98748672	108.54012							
0.140625	0.96849662	98.286774							
0.24023438	0.9969818	98.171997							
0.33984375	0.98748672	96.182541							
0.43945313	0.97799164	93.619202							
0.5390625	0.98748672	91.782784							
0.63867188	0.94001138	90.175911							
0.73828125	0.96849662	90.061134							
0.83789063	0.94950646	88.071678							
0.9375	0.91152614	85.661377							
1.0371094	0.90203112	84.819687							
1.1367188	0.91152614	82.945007							
1.2363281	0.87354589	81.682465							
1.3359375	0.82607055	79.38694							
1.4355469	0.94001138	79.080872							
1.5351563	0.87354589	77.359222							
1.6347656	0.83556563	76.096687							
1.734375	0.85455573	75.331512							
1.8339844	0.79758531	72.768173							
1.9335938	0.83556563	70.816978							
2.0332031	0.78809023	70.281357							
2.1328125	0.76910013	68.865776							
2.2324219	0.78809023	67.909309							
2.3320313	0.74061489	65.958115							
2.4316406	0.77859515	65.039902							
2.53125	0.81657547	63.165222							
2.6308594	0.77859515	61.826168							
2.7304688	0.74061489	61.290543							
2.8300781	0.77859515	58.995018							
2.9296875	0.72162473	57.808994							
3.0292969	0.67414939	56.661232							
3.1289063	0.71212965	55.436954							
3.2285156	0.67414939	54.174412							
3.328125	0.69313955	53.179684							
3.4277344	0.67414939	51.305004							
3.5273438	0.70263463	49.124256							
3.6269531	0.61717898	48.014751							
3.7265625	0.63616914	47.593906							
3.8261719	0.67414939	45.910519							
3.9257813	0.65515924	44.762756							
4.0253906	0.62667406	43.691513							
4.125	0.68364447	42.237679							
4.2246094	0.57919866	40.63081							
4.3242188	0.62667406	39.291752							
4.4238281	0.61717898	38.488319							
4.5234375	0.5412184	37.187519							
4.6230469	0.59818882	35.963242							
4.7226563	0.58869374	35.389359							
4.8222656	0.53172332	33.017315							
4.921875	0.51273316	31.716516							
5.0214844	0.51273316	30.530495							
5.1210938	0.52222824	28.54104							
5.2207031	0.50323814	27.010689							
5.3203125	0.52222824	26.322031							
5.4199219	0.48424798	25.901184							
5.5195313	0.4747529	24.179541							
5.6191406	0.44626769	22.151825							
5.71875	0.41778249	22.151825							
5.8183594	0.42727754	20.851028							
5.9179688	0.48424798	19.358936							
6.0175781	0.4747529	18.632019							
6.1171875	0.3798022	16.872116							
6.2167969	0.41778249	16.604305							
6.3164063	0.39879233	15.226989							
6.4160156	0.36081204	13.887932							
6.515625	0.3798022	11.974994							
6.6152344	0.42727754	11.248077							
6.7148438	0.36081204	10.329866							
6.8144531	0.36081204	9.7177267							
6.9140625	0.28485149	7.5752358							
7.0136719	0.37030712	6.7335429							
7.1132813	0.33232683	5.3179684							
7.2128906	0.33232683	4.9353809							
7.3125	0.33232683	3.8641353							
7.4121094	0.22788106	2.2955258							
7.5117188	0.24687119	1.1095041							
7.6113281	0.30384162	-0.26781154							
7.7109375	0.24687119	-0.80343425							
7.8105469	0.23737612	-2.3720436							
7.9101563	0.19939584	-3.5963242							
8.0097656	0.22788106	-4.4762759							
8.109375	0.22788106	-5.6622977							
8.2089844	0.22788106	-6.8865781							
8.3085938	0.16141555	-8.3021526							
8.4082031	0.20889091	-8.6464815							
8.5078125	0.17091063	-10.062056							
8.6074219	0.15192048	-10.55942							
8.7070313	0.16141555	-11.515889							
8.8066406	0.13293034	-13.237534							
8.90625	0.13293034	-13.811415							
9.0058594	0.16141555	-14.423555							
9.1054688	0.10444513	-15.724353							
9.2050781	0.1139402	-17.522514							
9.3046875	0.13293034	-17.828585							
9.4042969	0.094950058	-18.249432							
