Sec	mm	kN
0.26171875	0.094950698	1.377316
0.36132813	0.094950698	1.4155747
0.4609375	0.094950698	1.4155747
0.56054688	0.17091127	3.0989604
0.66015625	0.15192112	5.2031927
0.75976563	0.10444576	7.9195652
0.859375	0.11394083	9.1821041
0.95898438	0.20889156	10.521161
1.0585938	0.18040633	12.051512
1.1582031	0.15192112	13.199275
1.2578125	0.19939648	13.65838
1.3574219	0.18040633	14.959178
1.4570313	0.17091127	15.762612
1.5566406	0.20889156	17.522516
1.65625	0.24687183	18.287691
1.7558594	0.27535704	19.435453
1.8554688	0.24687183	20.659735
1.9550781	0.30384225	21.616203
2.0546875	0.19939648	23.070036
2.1542969	0.31333733	23.796953
2.2539063	0.30384225	24.715164
2.3535156	0.30384225	26.130737
2.453125	0.27535704	26.360291
2.5527344	0.31333733	27.661089
2.6523438	0.24687183	29.114922
2.7519531	0.32283241	30.186167
2.8515625	0.33232749	30.836567
2.9511719	0.35131761	32.864281
3.0507813	0.37980282	34.471149
3.1503906	0.36081269	36.384087
3.25	0.37030774	37.302299
3.3496094	0.3892979	38.258766
3.4492188	0.4557634	39.291752
3.5488281	0.37980282	40.171707
3.6484375	0.46525848	42.199421
3.7480469	0.40828803	42.620266
3.8476563	0.43677324	44.150616
3.9472656	0.49374369	45.336639
4.046875	0.40828803	46.446144
4.1464844	0.4557634	48.703411
4.2460938	0.47475353	48.703411
4.3457031	0.44626832	49.96595
4.4453125	0.49374369	50.960678
4.5449219	0.49374369	52.529285
4.6445313	0.49374369	54.595261
4.7441406	0.51273382	55.207401
4.84375	0.53172398	56.776009
4.9433594	0.5222289	57.885513
5.0429688	0.55071414	59.568901
5.1425781	0.56970423	61.099251
5.2421875	0.55071414	63.126965
5.3417969	0.56970423	64.083435
5.4414063	0.55071414	65.460747
5.5410156	0.61717963	66.685028
5.640625	0.60768455	67.909309
5.7402344	0.68364513	69.82225
5.8398438	0.61717963	70.931755
5.9394531	0.59818947	72.232552
6.0390625	0.74061555	74.681114
6.1386719	0.64566481	74.910667
6.2382813	0.64566481	76.326241
6.3378906	0.67415005	77.665298
6.4375	0.73112047	79.004356
6.5371094	0.63616973	80.41993
6.6367188	0.70263523	81.376396
6.7363281	0.75011063	82.065056
6.8359375	0.68364513	83.51889
6.9355469	0.74061555	85.814415
7.0351563	0.77859581	86.350037
7.1347656	0.72162539	87.650833
7.234375	0.78809088	89.104668
7.3339844	0.77859581	90.328949
7.4335938	0.79758596	91.629745
7.5332031	0.81657612	93.313133
7.6328125	0.81657612	94.499153
7.7324219	0.78809088	95.379105
7.8320313	0.78809088	95.876472
7.9316406	0.85455638	98.516327
8.03125	0.83556622	98.171997
8.1308594	0.87354654	100.00842
8.2304688	0.90203172	101.38573
8.3300781	0.85455638	102.18916
8.4296875	0.87354654	102.41872
8.5292969	0.94001204	104.21688
8.6289063	0.9115268	105.02032
8.7285156	0.94001204	106.28285
8.828125	0.93051696	106.66544
8.9277344	0.95900214	107.92798
9.0273438	0.96849722	109.11401
9.1269531	0.94950712	110.60609
9.2265625	0.94950712	111.52431
9.3261719	0.9115268	112.71033
9.4257813	1.0064775	113.74332
0.1484375	0.98748738	102.57175
0.24804688	0.94950712	102.26569
0.34765625	0.98748738	100.50578
0.44726563	0.9115268	98.325027
0.546875	0.9779923	96.565125
0.64648438	0.94001204	94.231346
0.74609375	0.99698246	92.73925
0.84570313	0.96849722	90.864571
0.9453125	0.90203172	89.487259
1.0449219	0.9115268	87.497803
1.1445313	0.87354654	85.431824
1.2441406	0.86405146	83.404114
1.34375	0.85455638	81.376396
1.4433594	0.92102188	80.725998
1.5429688	0.82607114	78.774803
1.6425781	0.85455638	77.894852
1.7421875	0.79758596	75.981911
1.8417969	0.90203172	73.648125
1.9414063	0.80708104	72.423843
2.0410156	0.81657612	70.243095
2.140625	0.82607114	69.171852
2.2402344	0.82607114	67.411949
2.3398438	0.77859581	65.231201
2.4394531	0.79758596	64.15995
2.5390625	0.75011063	62.400047
2.6386719	0.71213031	60.563629
2.7382813	0.72162539	59.683678
2.8378906	0.74061555	57.502926
2.9375	0.69314015	55.781281
3.0371094	0.75960565	54.442226
3.1367188	0.70263523	52.873615
3.2363281	0.72162539	51.15197
3.3359375	0.66465497	49.62162
3.4355469	0.69314015	48.053013
3.5351563	0.70263523	46.484402
3.6347656	0.67415005	45.298382
3.734375	0.72162539	43.653252
3.8339844	0.56020916	40.707329
3.9335938	0.62667465	40.362999
4.0332031	0.61717963	38.679615
4.1328125	0.66465497	37.684887
4.2324219	0.60768455	35.963242
4.3320313	0.60768455	34.203339
4.4316406	0.58869439	33.170349
4.53125	0.58869439	32.59647
4.6308594	0.56970423	30.645273
4.7304688	0.60768455	29.153181
4.8300781	0.59818947	28.005417
4.9296875	0.54121906	26.283773
5.0292969	0.51273382	24.638645
5.1289063	0.53172398	23.796953
5.2285156	0.4557634	22.113567
5.328125	0.50323874	21.157099
5.4277344	0.50323874	18.938089
5.5273438	0.43677324	17.637291
5.6269531	0.4557634	16.833858
5.7265625	0.46525848	15.456542
5.8261719	0.47475353	14.27052
5.9257813	0.47475353	13.04624
6.0253906	0.44626832	12.013253
6.125	0.39879298	11.554148
6.2246094	0.3892979	9.7559862
6.3242188	0.43677324	8.9142933
6.4238281	0.37030774	7.76653
6.5234375	0.37030774	7.0778723
6.6230469	0.37030774	5.8153329
6.7226563	0.36081269	5.0501575
6.8222656	0.37980282	3.6345832
6.921875	0.33232749	2.2955263
7.0214844	0.33232749	1.377316
7.1210938	0.31333733	-0.076517187
7.2207031	0.33232749	-0.99472761
7.3203125	0.28485212	-2.4868195
7.4199219	0.30384225	-3.0989597
7.5195313	0.33232749	-4.1702051
7.6191406	0.2943472	-4.7823453
7.71875	0.26586199	-6.1979198
7.8183594	0.21838662	-7.1161304
7.9179688	0.25636691	-7.7282705
8.0175781	0.22788168	-9.1025991
8.1171875	0.24687183	-9.8655615
8.2167969	0.18990141	-11.238894
8.3164063	0.19939648	-12.230746
8.4160156	0.24687183	-12.841117
8.515625	0.14242604	-13.527783
8.6152344	0.16141619	-14.901116
8.7148438	0.18040633	-15.358893
8.8144531	0.19939648	-16.427042
8.9140625	0.15192112	-17.190004
9.0136719	0.14242604	-17.991116
9.1132813	0.15192112	-18.90667
